Date,Portfolio Value,Peak Value,Drawdown %,Stock,Quantity,Entry Price,Daily Close,Position Value,Stock Drawdown %
2025-04-16,1614323.98,1614323.98,0.0,NAVINFLUOR,8.0,4162.5,4245.4,33963.2,7.54
2025-04-16,1614323.98,1614323.98,0.0,POONAWALLA,98.0,306.35,384.65,37695.7,-3.87
2025-04-16,1614323.98,1614323.98,0.0,ABCAPITAL,178.0,168.54,198.18,35276.04,-4.89
2025-04-16,1614323.98,1614323.98,0.0,CAMS,9.0,3741.7,3882.5,34942.5,5.69
2025-04-16,1614323.98,1614323.98,0.0,CANFINHOME,47.0,650.0,711.55,33442.85,0.41
2025-04-16,1614323.98,1614323.98,0.0,HDFCLIFE,47.0,648.9,720.05,33842.35,-2.63
2025-04-16,1614323.98,1614323.98,0.0,GLENMARK,21.0,1468.15,1342.4,28190.4,8.57
2025-04-16,1614323.98,1614323.98,0.0,HDFCBANK,18.0,1749.95,1906.7,34320.6,-0.44
2025-04-16,1614323.98,1614323.98,0.0,MANAPPURAM,142.0,212.54,229.21,32547.82,-2.33
2025-04-16,1614323.98,1614323.98,0.0,TATACOMM,20.0,1553.05,1565.0,31300.0,0.37
2025-04-16,1614323.98,1614323.98,0.0,TATAPOWER,82.0,369.1,381.7,31299.4,3.86
2025-04-16,1614323.98,1614323.98,0.0,CESC,202.0,148.97,158.16,31948.32,1.44
2025-04-16,1614323.98,1614323.98,0.0,CGPOWER,47.0,649.9,619.85,29132.95,16.83
2025-04-16,1614323.98,1614323.98,0.0,CHAMBLFERT,51.0,589.85,673.6,34353.6,1.75
2025-04-16,1614323.98,1614323.98,0.0,HAL,9.0,3722.4,4220.4,37983.6,-2.59
2025-04-16,1614323.98,1614323.98,0.0,HDFCAMC,8.0,3968.7,4218.0,33744.0,5.96
2025-04-16,1614323.98,1614323.98,0.0,LTF,205.0,146.6,163.69,33556.45,-1.34
2025-04-16,1614323.98,1614323.98,0.0,MAXHEALTH,28.0,1084.15,1084.4,30363.2,1.54
2025-04-16,1614323.98,1614323.98,0.0,CUMMINSIND,10.0,3001.95,2891.2,28912.0,9.68
2025-04-16,1614323.98,1614323.98,0.0,HUDCO,150.0,201.27,228.84,34326.0,3.17
2025-04-16,1614323.98,1614323.98,0.0,SBILIFE,21.0,1495.85,1608.2,33772.2,2.34
2025-04-20,1644416.26,1644416.26,0.0,NTPC,91.0,333.0,364.55,33174.05,1.08
2025-04-20,1644416.26,1644416.26,0.0,CHOLAFIN,21.0,1458.95,1659.8,34855.8,4.99
2025-04-20,1644416.26,1644416.26,0.0,HINDALCO,45.0,681.8,622.0,27990.0,17.6
2025-04-20,1644416.26,1644416.26,0.0,INDIGO,7.0,4765.5,5496.5,38475.5,2.89
2025-04-20,1644416.26,1644416.26,0.0,JINDALSTEL,33.0,915.6,906.4,29911.2,14.06
2025-04-20,1644416.26,1644416.26,0.0,JSWSTEEL,30.0,1011.85,1034.0,31020.0,8.06
2025-04-20,1644416.26,1644416.26,0.0,TATASTEEL,200.0,150.43,139.18,27836.0,15.46
2025-04-20,1644416.26,1644416.26,0.0,BERGEPAINT,60.0,507.0,553.35,33201.0,4.81
2025-04-20,1644416.26,1644416.26,0.0,COALINDIA,78.0,385.4,400.5,31239.0,2.8
2025-04-20,1644416.26,1644416.26,0.0,SRF,11.0,2918.15,3029.3,33322.3,6.95
2025-04-20,1644416.26,1644416.26,0.0,JSL,46.0,654.7,569.35,26190.1,21.7
2025-04-20,1644416.26,1644416.26,0.0,AXISBANK,29.0,1037.3,1223.0,35467.0,2.61
2025-04-20,1644416.26,1644416.26,0.0,ADANIENSOL,39.0,777.15,937.5,36562.5,2.07
2025-04-20,1644416.26,1644416.26,0.0,SHRIRAMFIN,48.0,638.15,703.0,33744.0,5.32
2025-04-20,1644416.26,1644416.26,0.0,KOTAKBANK,16.0,1995.4,2241.4,35862.4,0.52
2025-04-20,1644416.26,1644416.26,0.0,CROMPTON,85.0,357.05,339.45,28853.25,9.59
2025-04-20,1644416.26,1644416.26,0.0,VOLTAS,21.0,1443.95,1318.0,27678.0,16.35
2025-04-20,1644416.26,1644416.26,0.0,DMART,8.0,3865.75,4342.3,34738.4,1.05
2025-04-20,1644416.26,1644416.26,0.0,COROMANDEL,17.0,1866.0,2197.9,37364.3,-5.18
2025-04-20,1644416.26,1644416.26,0.0,ICICIBANK,24.0,1272.05,1409.8,33835.2,-1.22
2025-04-20,1644416.26,1644416.26,0.0,JSWENERGY,57.0,528.3,521.35,29716.95,12.06
2025-04-20,1644416.26,1644416.26,0.0,MUTHOOTFIN,14.0,2294.4,2203.6,30850.4,12.09
2025-04-20,1644416.26,1644416.26,0.0,BEL,107.0,282.35,299.95,32094.65,3.63
2025-04-20,1644416.26,1644416.26,0.0,CIPLA,20.0,1504.2,1511.1,30222.0,7.94
2025-04-20,1644416.26,1644416.26,0.0,SUNPHARMA,18.0,1731.75,1744.9,31408.2,4.59
2025-04-20,1644416.26,1644416.26,0.0,VEDL,66.0,455.95,411.95,27188.7,18.73
2025-04-20,1644416.26,1644416.26,0.0,INDHOTEL,39.0,784.8,836.05,32605.95,4.19
2025-04-20,1644416.26,1644416.26,0.0,ADANIPORTS,26.0,1160.55,1243.1,32320.6,4.3
2025-04-20,1644416.26,1644416.26,0.0,BAJFINANCE,4.0,8688.45,9273.5,37094.0,1.39
2025-04-20,1644416.26,1644416.26,0.0,NAVINFLUOR,8.0,4162.5,4213.9,33711.2,7.54
2025-04-20,1644416.26,1644416.26,0.0,POONAWALLA,98.0,306.35,396.65,38871.7,-3.87
2025-04-20,1644416.26,1644416.26,0.0,ABCAPITAL,178.0,168.54,202.49,36043.22,-4.89
2025-04-20,1644416.26,1644416.26,0.0,CAMS,9.0,3741.7,4000.8,36007.2,5.69
2025-04-20,1644416.26,1644416.26,0.0,CANFINHOME,47.0,650.0,739.95,34777.65,0.41
2025-04-20,1644416.26,1644416.26,0.0,HDFCLIFE,47.0,648.9,712.2,33473.4,-2.63
2025-04-20,1644416.26,1644416.26,0.0,GLENMARK,21.0,1468.15,1368.8,28744.8,8.57
